cycle,n,area_sim,area_expected,V_hom,f_dot,dNdt,dMdt,M,anomaly
55,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-2222528.912444,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
56,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-2262216.946595,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
57,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-2301904.980745,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
58,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-2341593.014896,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
59,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-2381281.049047,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
60,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-2420969.083198,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
61,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-2460657.117349,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
62,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-2500345.151499,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
63,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-2540033.185650,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
64,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-2579721.219801,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
65,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-2619409.253952,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
66,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-2659097.288103,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
67,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-2698785.322253,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
68,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-2738473.356404,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
69,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-2778161.390555,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
70,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-2817849.424706,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
71,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-2857537.458856,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
72,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-2897225.493007,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
73,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-2936913.527158,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
74,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-2976601.561309,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
75,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-3016289.595460,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
76,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-3055977.629610,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
77,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-3095665.663761,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
78,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-3135353.697912,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
79,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-3175041.732063,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
80,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-3214729.766213,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
81,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-3254417.800364,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
82,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-3294105.834515,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
83,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-3333793.868666,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
84,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-3373481.902817,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
85,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-3413169.936967,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
86,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-3452857.971118,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
87,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-3492546.005269,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
88,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-3532234.039420,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
89,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-3571922.073571,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
